연도,퇴직연금 인원(명),퇴직연금 지급액(천원),퇴직연금 평균 연금액(천원),유족연금 인원(명),유족연금 지급액(천원),유족연금 평균 연금액(천원),장해연금 인원(명),장해연금 지급액(천원),장해연금 평균 연금액(천원), 조기퇴직연금 인원(명),조기퇴직연금  지급액 (천원),조기퇴직연금 평균연금액 (천원),연계퇴직연금 인원(명),연계퇴직연금 지급액(천원),연계퇴직연금 평균연금액(천원)
1986,374,1571226,4201,8,16318,2040,1,6042,6042,0,0,0,0,0,0
1987,516,2503884,4852,16,38113,2382,1,10569,10569,0,0,0,0,0,0
1988,744,4187548,5628,35,124609,3560,4,20786,5197,0,0,0,0,0,0
1989,1017,6511060,6402,48,218342,4549,4,21889,5472,0,0,0,0,0,0
1990,1275,10400691,8157,66,358086,5426,4,26401,6600,0,0,0,0,0,0
1991,1604,15355617,9573,96,596695,6216,5,38382,7676,0,0,0,0,0,0
1992,1969,21839892,11092,128,986325,7706,6,58932,9822,0,0,0,0,0,0
1993,2492,30365220,12185,175,1432057,8183,7,70938,10134,0,0,0,0,0,0
1994,3132,41218211,13160,231,2092124,9057,7,83790,11970,0,0,0,0,0,0
1995,3646,51342748,14082,295,2810421,9527,9,98294,10922,0,0,0,0,0,0
1996,4226,62461857,14780,382,3811768,9978,10,107097,10710,0,0,0,0,0,0
1997,5000,77188208,15438,447,4959832,11096,10,112178,11218,0,0,0,0,0,0
1998,5869,89414202,15235,530,5813752,10969,13,152901,11762,0,0,0,0,0,0
1999,9909,129121622,13031,623,7267734,11499,18,198010,11000,0,0,0,0,0,0
2000,12628,191986370,15203,734,8853054,11980,20,251318,12566,0,0,0,0,0,0
2001,13708,229788142,16763,904,11078043,12254,27,321365,11902,2,0,0,0,0,0
2002,14924,265013557,17758,1104,13914641,12604,31,463155,14940,13,12780,983,0,0,0
2003,16542,342854814,20726,1316,18707326,14215,42,573283,13650,11,65047,5913,0,0,0
2004,18444,403729748,21889,1525,22472048,14736,48,712430,14842,24,148786,6199,0,0,0
2005,20414,470994430,23072,1743,27160700,15583,49,900830,18384,23,256705,11161,0,0,0
2006,22638,543069625,23989,2011,32395678,16109,57,927017,16263,39,442703,11351,0,0,0
2007,25459,632029252,24825,2292,37651078,16427,65,1019070,15678,62,728375,11748,0,0,0
2008,28673,737736496,25729,2580,43423085,16831,72,1140083,15834,98,1198371,12228,0,0,0
2009,31177,853753320,27384,2875,50111765,17430,78,1317437,16890,134,1919343,14323,7,29243,4178
2010,34047,963938145,28312,3228,57791085,17903,88,1439333,16356,187,2592583,13864,18,153053,8503
2011,36849,1073258368,29126,3590,65788351,18325,95,1513021,15927,236,3518971,14911,42,310035,7382
2012,40116,1211764982,30207,3999,76313416,19083,105,1806887,17208,319,4937101,15477,137,852425,6222
2013,43697,1360638334,31138,4451,87080532,19564,105,2006797,19112,393,6475412,16477,154,1374824,8927
2014,47782,1518038114,31770,4903,97434493,19872,115,1994132,17340,466,7881211,16912,240,1824946,7604
2015,53170,1729934786,32536,5397,109090678,20213,121,2120443,17524,582,10096320,17348,371,2932736,7905
2016,57084,1884692928,33016,6064,119987635,19787,123,2186542,17777,682,12208833,17902,511,4169881,8160
2017,61692,2043764926,33129,6714,129905350,19348,128,2222621,17364,785,14329821,18255,684,5491234,8028
2018,67607,2235464787,33066,7392,140623588,19024,130,2240608,17235,921,16670061,18100,785,6423760,8183
2019,73831,2461850638,33344,8206,152756495,44528,138,2286063,31580,1038,19382239,18673,1001,7421169,7414
