연도,재직기간,유치원 및 초등학교,중학교,고등학교,전문대학,대학(교),특수학교
2007,5년 미만,3591,22,96,1515,5761,0
2007,5년 이상~10년 미만,845,27,92,232,533,0
2007,10년 이상~15년 미만,73,43,115,52,127,0
2007,15년 이상~20년 미만,21,70,142,13,63,0
2007,20년 이상~25년 미만,30,75,167,27,105,0
2007,25년 이상~30년 미만,14,99,176,37,151,0
2007,30년 이상~33년 미만,6,80,148,32,105,0
2007,33년 이상,21,348,704,83,204,0
2008,5년 미만,3958,17,102,1589,6246,0
2008,5년 이상~10년 미만,1006,28,91,180,563,0
2008,10년 이상~15년 미만,67,34,76,61,182,0
2008,15년 이상~20년 미만,24,37,94,25,69,0
2008,20년 이상~25년 미만,20,66,170,22,80,0
2008,25년 이상~30년 미만,13,122,285,40,143,0
2008,30년 이상~33년 미만,13,138,238,32,102,0
2008,33년 이상,26,394,721,81,233,0
2009,5년 미만,4043,17,87,1578,6799,0
2009,5년 이상~10년 미만,1025,41,63,172,602,0
2009,10년 이상~15년 미만,76,39,59,52,154,0
2009,15년 이상~20년 미만,25,28,73,21,87,0
2009,20년 이상~25년 미만,30,39,153,27,82,0
2009,25년 이상~30년 미만,12,69,160,27,140,0
2009,30년 이상~33년 미만,12,72,166,26,114,0
2009,33년 이상,28,278,587,84,215,0
2010,5년 미만,4235,15,101,2035,7280,0
2010,5년 이상~10년 미만,1161,27,68,176,545,0
2010,10년 이상~15년 미만,103,22,68,42,176,0
2010,15년 이상~20년 미만,24,28,70,36,55,0
2010,20년 이상~25년 미만,33,61,154,37,126,0
2010,25년 이상~30년 미만,20,78,165,34,206,0
2010,30년 이상~33년 미만,6,84,168,44,241,0
2010,33년 이상,23,285,570,131,306,0
2011,5년 미만,3988,17,90,1911,7111,0
2011,5년 이상~10년 미만,1078,26,97,134,508,0
2011,10년 이상~15년 미만,118,23,57,44,151,0
2011,15년 이상~20년 미만,19,19,41,32,74,0
2011,20년 이상~25년 미만,23,45,122,39,83,0
2011,25년 이상~30년 미만,17,72,179,33,139,0
2011,30년 이상~33년 미만,15,93,242,28,148,0
2011,33년 이상,31,290,642,119,308,0
2012,5년 미만,3978,10,97,745,2745,0
2012,5년 이상~10년 미만,1084,20,83,102,318,0
2012,10년 이상~15년 미만,113,24,54,68,136,0
2012,15년 이상~20년 미만,24,22,43,57,73,0
2012,20년 이상~25년 미만,18,48,118,44,127,0
2012,25년 이상~30년 미만,17,95,216,38,153,0
2012,30년 이상~33년 미만,10,118,214,39,174,0
2012,33년 이상,38,341,720,128,363,0
2013,5년 미만,4408,12,83,416,1287,0
2013,5년 이상~10년 미만,1196,24,91,84,323,0
2013,10년 이상~15년 미만,142,15,54,43,117,0
2013,15년 이상~20년 미만,21,20,46,33,81,0
2013,20년 이상~25년 미만,22,34,110,70,130,0
2013,25년 이상~30년 미만,20,100,195,42,187,0
2013,30년 이상~33년 미만,12,108,233,16,177,0
2013,33년 이상,35,395,789,113,443,0
2014,5년 미만,4423,13,78,297,1305,0
2014,5년 이상~10년 미만,1265,18,71,103,308,0
2014,10년 이상~15년 미만,124,31,60,40,119,0
2014,15년 이상~20년 미만,22,18,61,39,82,0
2014,20년 이상~25년 미만,31,26,82,74,146,0
2014,25년 이상~30년 미만,21,69,172,60,181,0
2014,30년 이상~33년 미만,10,60,143,33,187,0
2014,33년 이상,44,476,1129,141,439,0
2015,5년 미만,4777,14,61,255,1145,0
2015,5년 이상~10년 미만,1411,8,51,96,328,0
2015,10년 이상~15년 미만,175,8,40,42,129,0
2015,15년 이상~20년 미만,39,14,32,34,100,0
2015,20년 이상~25년 미만,30,24,75,93,151,0
2015,25년 이상~30년 미만,34,62,191,55,182,0
2015,30년 이상~33년 미만,20,140,302,46,157,0
2015,33년 이상,68,747,1665,168,488,0
2016,5년 미만,5888,9,74,311,1102,0
2016,5년 이상~10년 미만,1565,10,64,87,366,0
2016,10년 이상~15년 미만,165,17,40,41,141,0
2016,15년 이상~20년 미만,26,7,36,40,94,0
2016,20년 이상~25년 미만,27,21,82,85,149,0
2016,25년 이상~30년 미만,19,84,271,52,188,0
2016,30년 이상~33년 미만,16,123,379,34,136,0
2016,33년 이상,49,367,919,118,416,0
2017,5년 미만,7335,13,61,255,1039,8
2017,5년 이상~10년 미만,2193,11,42,141,470,5
2017,10년 이상~15년 미만,323,16,61,64,178,8
2017,15년 이상~20년 미만,71,19,42,27,143,5
2017,20년 이상~25년 미만,34,24,69,106,202,5
2017,25년 이상~30년 미만,15,99,226,84,234,7
2017,30년 이상~33년 미만,7,138,359,41,219,12
2017,33년 이상,29,417,1051,111,550,21
2018,5년 미만,7568,10,46,233,966,4
2018,5년 이상~10년 미만,2484,18,60,128,564,13
2018,10년 이상~15년 미만,403,17,62,55,256,15
2018,15년 이상~20년 미만,90,23,43,57,201,8
2018,20년 이상~25년 미만,41,26,96,120,311,8
2018,25년 이상~30년 미만,16,68,221,121,389,11
2018,30년 이상~33년 미만,6,163,437,56,278,13
2018,33년 이상,29,485,1304,141,687,29
2019,5년 미만,7799,9,39,243,848,10
2019,5년 이상~10년 미만,2839,16,54,125,460,16
2019,10년 이상~15년 미만,519,15,65,69,194,12
2019,15년 이상~20년 미만,157,17,57,55,158,7
2019,20년 이상~25년 미만,52,30,97,97,215,11
2019,25년 이상~30년 미만,17,72,167,136,356,17
2019,30년 이상~33년 미만,11,193,474,53,288,24
2019,33년 이상,20,544,1547,167,646,37
