지역,유치원교원남,유치원교원여,유치원직원남,유치원직원여,초등학교교원남,초등학교교원여,초등학교직원남,초등학교직원여,중학교교원남,중학교교원여,중학교직원남,중학교직원여,고등학교교원남,고등학교교원여,고등학교직원남,고등학교직원여,전문대교원남,전문대교원여,전문대직원남,전문대직원여,대학교교원남,대학교교원여,대학교직원남,대학교직원여,특수학교교원남,특수학교교원여,특수학교직원남,특수학교직원여,법인교원남,법인교원여,법인직원남,법인직원여
서울,14,1739,22,107,19,21,11,2,126,72,11,5,457,163,67,16,62,32,26,21,728,193,1906,4187,17,31,13,4,0,0,11,11
인천,6,716,11,78,0,0,0,2,4,4,0,1,66,23,5,2,27,4,10,1,45,8,105,368,2,0,3,1,0,0,0,1
경기,43,2968,104,530,1,1,0,1,53,23,6,4,201,89,17,7,158,64,63,38,290,97,411,983,10,12,7,8,0,0,3,3
강원,5,233,8,17,2,1,0,0,11,4,1,0,29,13,1,4,23,13,13,5,119,29,188,320,12,6,4,1,0,0,1,2
충북,2,246,5,27,0,1,0,0,11,9,1,1,48,13,6,3,32,5,23,2,100,30,92,188,5,0,2,2,0,0,3,0
대전,11,469,9,13,0,1,1,0,12,6,0,0,70,17,5,1,30,3,6,1,140,61,220,424,2,4,2,0,0,0,0,0
세종,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2,0,4,0,3,3,0,0,0,0,0,0,0,0
충남,9,366,6,49,1,0,0,0,42,9,2,2,74,22,6,0,18,3,11,3,156,56,155,292,1,1,0,0,0,0,2,0
전북,5,383,2,19,0,0,0,0,46,15,7,1,102,25,10,3,23,17,10,8,83,35,143,183,1,4,0,2,0,0,2,2
광주,6,456,10,17,1,6,0,0,34,11,4,2,114,22,10,0,37,14,8,4,94,27,108,113,0,2,2,1,0,0,2,0
전남,1,203,4,4,2,1,0,0,45,15,5,0,123,26,6,2,31,17,12,9,53,18,154,168,2,1,2,1,0,0,0,0
대구,13,791,15,51,0,0,0,0,44,24,1,1,133,32,5,0,45,22,11,1,39,5,269,516,3,7,0,1,0,0,0,0
경북,11,602,5,22,1,1,0,0,65,26,3,0,114,30,9,3,50,49,24,19,240,75,117,189,3,2,0,1,0,0,0,0
부산,16,879,12,23,2,1,4,1,41,21,6,1,199,66,15,5,39,20,17,12,198,60,306,628,0,2,2,0,0,0,1,0
울산,2,302,16,14,0,0,0,0,16,7,1,1,21,5,5,0,6,3,1,0,47,8,33,130,0,2,0,0,0,0,0,0
경남,7,786,14,43,0,1,0,0,58,37,10,2,145,41,12,2,54,12,8,9,96,25,185,380,1,1,0,0,0,0,1,0
제주,2,55,2,1,0,0,0,0,5,0,2,0,13,3,3,1,12,9,4,2,4,2,25,43,0,0,0,0,0,0,0,0
